time,dummyX,dummyY,dummyZ,fireHydrantX,fireHydrantY,fireHydrantZ,stopSignX,stopSignY,stopSignZ,bikeX,bikeY,bikeZ,leftSidewalkBoundZ,rightSidewalkBoundZ, endSidewalkBoundX
17.02,8.67, 1.00, 2.00,0.64, 1.00, 2.00,-2.68, 3.17, 3.00,0.66, 1.50, 1.50,0.5,3.5,-7
17.02,8.33, 0.93, 2.00,0.64, 1.00, 2.00,-2.68, 3.17, 3.00,0.66, 1.50, 1.50,0.5,3.5,-7
17.04,8.31, 0.93, 2.00,0.64, 1.00, 2.00,-2.68, 3.17, 3.00,0.66, 1.50, 1.50,0.5,3.5,-7
17.37333,7.98, 0.93, 2.00,0.64, 1.00, 2.00,-2.68, 3.17, 3.00,0.66, 1.50, 1.50,0.5,3.5,-7
17.70667,7.65, 0.93, 2.00,0.64, 1.00, 2.00,-2.68, 3.17, 3.00,0.66, 1.50, 1.50,0.5,3.5,-7
18.04,7.31, 0.93, 2.00,0.64, 1.00, 2.00,-2.68, 3.17, 3.00,0.66, 1.50, 1.50,0.5,3.5,-7
18.37333,6.98, 0.93, 2.00,0.64, 1.00, 2.00,-2.68, 3.17, 3.00,0.66, 1.50, 1.50,0.5,3.5,-7
18.70667,6.65, 0.93, 2.00,0.64, 1.00, 2.00,-2.68, 3.17, 3.00,0.66, 1.50, 1.50,0.5,3.5,-7
19.04,6.31, 0.93, 2.00,0.64, 1.00, 2.00,-2.68, 3.17, 3.00,0.66, 1.50, 1.50,0.5,3.5,-7
time,dummyX,dummyY,dummyZ,fireHydrantX,fireHydrantY,fireHydrantZ,stopSignX,stopSignY,stopSignZ,bikeX,bikeY,bikeZ,leftSidewalkBoundZ,rightSidewalkBoundZ, endSidewalkBoundX
0,9.00, 1.00, 2.00,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
0.02,9.00, 1.00, 2.00,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
0.3533334,9.00, 0.99, 2.00,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
0.6866667,8.66, 0.93, 2.00,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
1.02,8.33, 0.93, 2.00,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
1.353333,8.00, 0.93, 2.00,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
1.686667,7.66, 0.93, 2.00,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
2.02,7.22, 0.93, 1.11,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
2.353333,6.88, 0.93, 1.11,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
2.686667,6.55, 0.93, 1.11,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
3.02,6.22, 0.93, 1.11,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
3.353333,5.88, 0.93, 1.11,4.50, 1.00, 2.00,4.00, 3.17, 3.00,-1.00, 1.50, 1.50,0.5,3.5,-7
